site,Directory,FileName,DateTimeOriginal,DateTimeCorrected,species,count,juvenile,moving,resting,eating,standing,interacting,male
G12,G12/G12_R1/105EK113,12290626.JPG,12/29/18 12:51,12/29/18 12:51,nothing there,,,,,,,,
G12,G12/G12_R1/105EK113,12290627.JPG,12/29/18 12:51,12/29/18 12:51,nothing there,,,,,,,,
G12,G12/G12_R1/105EK113,12290628.JPG,12/29/18 12:52,12/29/18 12:52,nothing there,,,,,,,,
G12,G12/G12_R1/105EK113,12290629.JPG,12/29/18 12:52,12/29/18 12:52,nothing there,,,,,,,,
G12,G12/G12_R1/105EK113,12290630.JPG,12/29/18 12:52,12/29/18 12:52,nothing there,,,,,,,,
G12,G12/G12_R1/105EK113,12290631.JPG,12/29/18 12:52,12/29/18 12:52,nothing there,,,,,,,,
G12,G12/G12_R1/105EK113,12290632.JPG,12/29/18 12:53,12/29/18 12:53,nothing there,,,,,,,,
G12,G12/G12_R1/105EK113,12290633.JPG,12/29/18 12:53,12/29/18 12:53,nothing there,,,,,,,,
G12,G12/G12_R1/105EK113,12290634.JPG,12/29/18 12:54,12/29/18 12:54,nothing there,,,,,,,,
G12,G12/G12_R1/105EK113,12290635.JPG,12/29/18 12:54,12/29/18 12:54,nothing there,,,,,,,,
G12,G12/G12_R1/105EK113,12290636.JPG,12/29/18 12:54,12/29/18 12:54,nothing there,,,,,,,,
G12,G12/G12_R1/105EK113,12290637.JPG,12/29/18 12:54,12/29/18 12:54,nothing there,,,,,,,,
G12,G12/G12_R1/105EK113,12290638.JPG,12/29/18 12:55,12/29/18 12:55,nothing there,,,,,,,,
G12,G12/G12_R1/105EK113,12290639.JPG,12/29/18 12:55,12/29/18 12:55,nothing there,,,,,,,,
G12,G12/G12_R1/105EK113,12290640.JPG,12/29/18 12:55,12/29/18 12:55,nothing there,,,,,,,,
G12,G12/G12_R1/105EK113,12290641.JPG,12/29/18 12:55,12/29/18 12:55,nothing there,,,,,,,,
G12,G12/G12_R1/105EK113,12290642.JPG,12/29/18 12:56,12/29/18 12:56,nothing there,,,,,,,,
G12,G12/G12_R1/105EK113,12290643.JPG,12/29/18 12:56,12/29/18 12:56,nothing there,,,,,,,,
G12,G12/G12_R1/105EK113,12290644.JPG,12/29/18 12:57,12/29/18 12:57,nothing there,,,,,,,,
G12,G12/G12_R1/105EK113,12290645.JPG,12/29/18 12:57,12/29/18 12:57,nothing there,,,,,,,,
G12,G12/G12_R1/105EK113,12290646.JPG,12/29/18 12:57,12/29/18 12:57,nothing there,,,,,,,,
G12,G12/G12_R1/105EK113,12290647.JPG,12/29/18 12:57,12/29/18 12:57,nothing there,,,,,,,,
G12,G12/G12_R1/105EK113,12290648.JPG,12/29/18 12:58,12/29/18 12:58,nothing there,,,,,,,,
G12,G12/G12_R1/105EK113,12290649.JPG,12/29/18 12:58,12/29/18 12:58,nothing there,,,,,,,,
G12,G12/G12_R1/105EK113,12290650.JPG,12/29/18 12:58,12/29/18 12:58,nothing there,,,,,,,,
G12,G12/G12_R1/105EK113,12290651.JPG,12/29/18 12:58,12/29/18 12:58,nothing there,,,,,,,,
G12,G12/G12_R1/105EK113,12290652.JPG,12/29/18 12:59,12/29/18 12:59,nothing there,,,,,,,,
G12,G12/G12_R1/105EK113,12290653.JPG,12/29/18 12:59,12/29/18 12:59,nothing there,,,,,,,,
G12,G12/G12_R1/105EK113,12290654.JPG,12/29/18 12:59,12/29/18 12:59,nothing there,,,,,,,,
G12,G12/G12_R1/105EK113,12290655.JPG,12/29/18 12:59,12/29/18 12:59,nothing there,,,,,,,,
