Directory,DateTimeOriginal,FileName,species,count,juvenile,moving,resting,eating,standing,interacting,male
D07/D07_R1/100EK113,5/14/18 17:39,05140121.JPG,bushbuck,1,0,1,0,1,1,0,1
D07/D07_R1/100EK113,5/14/18 17:39,05140122.JPG,bushbuck,1,0,1,0,1,1,0,1
D07/D07_R1/100EK113,5/14/18 18:04,05140123.JPG,bushbuck,1,0,1,0,1,1,0,1
D07/D07_R1/100EK113,5/14/18 18:04,05140124.JPG,bushbuck,1,0,1,0,1,1,0,1
D07/D07_R1/100EK113,5/14/18 18:26,05140125.JPG,bushbuck,1,0,1,0,1,1,0,1
D07/D07_R1/100EK113,5/14/18 18:26,05140126.JPG,bushbuck,1,0,1,0,1,1,0,1
D07/D07_R1/100EK113,5/14/18 19:19,05140127.JPG,bushbuck,1,0,1,0,1,1,0,1
D07/D07_R1/100EK113,5/14/18 19:20,05140128.JPG,bushbuck,1,0,1,0,1,1,0,1
D07/D07_R1/100EK113,5/15/18 7:23,05150129.JPG,baboon,1,0,1,0,0,1,0,0
D07/D07_R1/100EK113,5/15/18 7:23,05150130.JPG,baboon,1,0,1,0,0,1,0,0
D07/D07_R1/100EK113,5/15/18 7:33,05150131.JPG,baboon,1,0,1,0,0,1,0,0
D07/D07_R1/100EK113,5/15/18 7:33,05150132.JPG,baboon,1,0,1,0,0,1,0,0
D07/D07_R1/100EK113,5/15/18 7:34,05150133.JPG,impala,1,0,0,0,0,1,0,0
D07/D07_R1/100EK113,5/15/18 7:34,05150134.JPG,impala,1,0,0,0,0,1,0,0
D07/D07_R1/100EK113,5/15/18 8:26,05150135.JPG,impala,1,0,1,0,0,1,0,1
D07/D07_R1/100EK113,5/15/18 8:26,05150136.JPG,impala,1,0,1,0,0,1,0,1
D07/D07_R1/100EK113,5/15/18 8:27,05150137.JPG,impala,1,0,1,0,0,1,0,1
D07/D07_R1/100EK113,5/15/18 8:27,05150138.JPG,impala,1,0,1,0,0,1,0,1
